subject,session,condition,channel,aperiodic_exponent,aperiodic_offset,n_peaks
sub-15,ses-2,NS,Fp2,1.0597852381796147,-11.181646345359624,2
sub-15,ses-2,NS,AF4,1.0759398813683296,-11.287720495835618,1
sub-15,ses-2,NS,AF8,1.2388881946194725,-10.90767361137567,4
sub-15,ses-2,NS,F2,1.1246011936614402,-11.583053794079575,3
sub-15,ses-2,NS,F4,1.130064681045274,-11.396093353179864,3
sub-15,ses-2,NS,F6,1.1339674946786362,-11.240431065533217,4
sub-15,ses-2,NS,F8,1.12823559864785,-11.020619479095616,4
sub-15,ses-2,NS,FC2,1.1064074185559312,-11.85227434892929,2
sub-15,ses-2,NS,FC4,1.0078549544901412,-11.804445127357988,4
sub-15,ses-2,NS,FC6,1.128030074710283,-11.437176542210063,4
sub-15,ses-2,NS,FT8,1.1643109428063176,-11.196155381048694,3
sub-15,ses-2,NS,C2,0.9583231904084738,-12.234269952814548,3
sub-15,ses-2,NS,C4,0.9818663783393676,-11.871934398980212,3
sub-15,ses-2,NS,C6,1.0869197586772614,-11.507730961448038,3
sub-15,ses-2,NS,T8,1.003477632958503,-11.26953727347987,4
sub-15,ses-2,NS,CPz,0.9967106364734132,-12.036854801195453,2
sub-15,ses-2,NS,CP2,1.12941127913976,-11.761598364351967,3
sub-15,ses-2,NS,CP4,1.1036877800863403,-11.580318492028207,3
sub-15,ses-2,NS,CP6,1.1738365029402462,-11.294672893775374,3
sub-15,ses-2,NS,TP8,1.2008269617189287,-11.117600924024245,3
sub-15,ses-2,NS,TP10,1.0749579843388422,-11.158798925014334,4
sub-15,ses-2,NS,P2,1.178105504794614,-11.350120531228137,3
sub-15,ses-2,NS,P4,1.1750120660719747,-11.186020350855742,3
sub-15,ses-2,NS,P6,1.1796206536612244,-11.017428991755928,3
sub-15,ses-2,NS,P8,1.2703214636810423,-10.811970062708358,2
sub-15,ses-2,NS,POz,1.2173367026360478,-11.07701129106093,3
sub-15,ses-2,NS,PO4,1.1631925615737702,-11.02503336060712,3
sub-15,ses-2,NS,PO8,1.0743044496948195,-10.914366408106458,3
sub-15,ses-2,NS,O2,0.8906230089783117,-11.020679879319554,3
sub-17,ses-2,NS,Fp1,0.8189832815045721,-11.458976070066269,1
sub-17,ses-2,NS,AF3,0.9020643753607341,-11.51820706436041,2
sub-17,ses-2,NS,AF7,1.0844476374358654,-11.34741898719868,2
sub-17,ses-2,NS,Fz,1.016274378015243,-11.562771297780294,4
sub-17,ses-2,NS,F1,0.7288464624867508,-11.558310707552351,3
sub-17,ses-2,NS,F3,0.6238895214911997,-11.348578533960458,2
sub-17,ses-2,NS,F5,0.9831244948418585,-11.396288199735341,2
sub-17,ses-2,NS,F7,1.052564303019248,-11.058527435680704,2
sub-17,ses-2,NS,FC1,0.9695306819055036,-11.884628579295887,3
sub-17,ses-2,NS,FC3,0.774584745052022,-11.640420179817513,4
sub-17,ses-2,NS,FC5,0.9657907731637334,-11.276880181276775,2
sub-17,ses-2,NS,FT7,1.0647423089491341,-11.118215578797392,1
sub-17,ses-2,NS,Cz,0.9907324949615138,-39.15130696077932,2
sub-17,ses-2,NS,C1,1.0572800736418597,-12.187957766920011,4
sub-17,ses-2,NS,C3,1.213529510950611,-11.432787971407755,3
sub-17,ses-2,NS,C5,1.2000301931825252,-11.18108594095384,4
sub-17,ses-2,NS,T7,1.1599858326747665,-11.059099879136806,4
sub-17,ses-2,NS,CP1,1.3580509324194956,-11.397425587365658,2
sub-17,ses-2,NS,CP3,1.379105342574284,-11.050793240655228,3
sub-17,ses-2,NS,CP5,1.29170739219155,-11.060671806822846,3
sub-17,ses-2,NS,TP7,1.063208667357735,-11.05946135320474,4
sub-17,ses-2,NS,TP9,0.9035117030440136,-11.036055367396198,1
sub-17,ses-2,NS,Pz,1.317847559180864,-11.186135208274894,1
sub-17,ses-2,NS,P1,1.3747162146726517,-11.13376763655414,2
sub-17,ses-2,NS,P3,1.3601545722250237,-11.005025179851138,3
sub-17,ses-2,NS,P5,1.309177473880847,-10.98865781475352,3
sub-17,ses-2,NS,P7,1.166748951705169,-10.982550854835823,2
sub-17,ses-2,NS,PO3,1.2653911839816017,-10.968009397175539,1
sub-17,ses-2,NS,PO7,1.2265372022757866,-10.947419581292383,1
sub-17,ses-2,NS,Oz,1.1937517278863268,-10.959544198598385,2
sub-17,ses-2,NS,O1,1.1811145226043909,-10.994281192662338,2
sub-17,ses-2,NS,Fpz,0.6788803264085658,-11.13066170267338,1
sub-17,ses-2,NS,Fp2,0.9287188981677651,-10.859146646340044,3
sub-17,ses-2,NS,AF4,0.8436247598535832,-11.035642888345208,2
sub-17,ses-2,NS,AF8,1.2111817083091707,-10.840171173758698,3
sub-17,ses-2,NS,F2,0.9977452594397621,-11.580748457166123,4
sub-17,ses-2,NS,F4,1.1273581930064918,-11.242535523673988,3
sub-17,ses-2,NS,F6,1.1976844842930483,-11.075767379195339,3
